text,title
Mass Maharaja Ravi Teja is currently working on Gopichand Malineni's' Krack 'and will soon start a new film under Ramesh Varma's direction.,Ravi Teja will be reprising her in his next film as well!
"Coronavirus cases are increasing day by day in India. Even though our governments are taking many strict measures to prevent this virus, the spread of this virus is not stopping. Bollywood actor Sanjay Dutt has expressed concern that his wife and children are stuck in Dubai due to the lockdown imposed in the wake of the corona epidemic in the country.",Actor Sanjay Dutt is worried about how his wife and children are doing
Rana is only focusing on novelty stories. Rana is only giving the green signal to novelty concepts. So he has agreed to Tamil and Hindi films are on the sets. He is busy shooting for those films. He will soon do a Telugu film. The title of this film to be directed by Milind Rao has been finalised. Gopinath Achanta will be the producer of this film. The script work of this film has already been completed. The regular shooting of this film will start in August. The rest of the details of this project will be revealed soon. This film with different storylines will give a hit to Rana.,A few things about Rana's new film
"A businessman's house in Jubilee Hills was burgled on Friday night. Jewellery worth around Rs 10 lakh was stolen. According to the police, a bystander who entered from behind the house of Naji Ali Khan, a resident of Road No 34, changed the direction of the CCTV camera.","CCTV camera misdirected, jewellery stolen"
"Narasaraopet MP Rayapati Sambasiva Rao explained to Chief Minister N. Chandrababu Naidu the special features of the Chandi and Aita Maha Sudarshana Yagas, which were performed by Chandrababu Naidu as he wished to become the Chief Minister again.",Chandi Yagna wants Babu to get married again
"New Delhi: While the BJP has welcomed the Supreme Court's suggestion to resolve the Ram Janmabhoomi-Babri Masjid dispute through mediation, the Vishwa Hindu Parishad has said it is ready for another battle.",Ram Mandir should be built on the land of Ram.
"The Centre is preparing to make toll payments on national highways cashless from the new year. From January 1, 100 per cent collection at toll gates will be done through FASTag. At present, about 75 per cent of toll payments are done through FASTags. Only one line of cash is allowed. According to sources in the National Highways Authority of India (NHAI), adequate staff will be hired to quickly issue smart tags and recharge them.",100% FASTag payments from New Year
"Education Department officials said that NEET will be conducted across the country on Sunday. The exam will be held from 2 pm to 5 pm on Sunday. All students are advised to reach the centre by 1: 30 pm. The exam will not be allowed to be held even if there is a delay of one minute. 16 lakh students will appear for NEET across the country. One lakh students are appearing for NEET from Telugu states. 3,842 exam centres have been set up in a total of 202 towns. 112 centres have been set up in 7 towns in Telangana. 151 centres have been set up in 9 cities in AP. Only a small sanitiser bottle along with admit card, photo and identity card will be allowed inside the exam centre. Students will be required to wear a mask and only light coloured clothes.",NEET exam to be held across the country on Sunday
Well-known Tamil actress Varalaxmi Sarathkumar says that she knows who is making news about her marriage. There have been reports for a long time that Varalaxmi is going to marry film actor Vishal. She has clarified many times that Vishal is just a friend.,I know who is doing this!
"Minister Revanna, the brother of Karnataka Chief Minister HD Kumaraswamy, made controversial comments against veteran actress Sumalatha Ambareesh.",CM's controversial remarks on Sumalatha
New Delhi: Prime Minister Narendra Modi inaugurated the fifth International Conference on Cyberspace in Delhi today with the theme CyberforAll: A Secure and Inclusive Cyberspace for Sustainable Development.,PM Modi inaugurates Cyberspace Summit
"According to the witness website, SI Raghapathi said that Singurapu Ashwini (23), a resident of the same village, had been in love with Baske Tirupati for three years. Tirupati recently distanced herself from Ashwini. The girl consumed pesticide on Sunday evening. The family members noticed that she was first taken to Mancherial in Kagaznagar and later died on the way to Hyderabad for better treatment.",Girl commits suicide after being separated from boyfriend
"The dissolution of the Legislative Council of AP is likely to be accompanied by the resignation of MLA Roja. A copy of the Council's dissolution resolution is now in the hands of the Center. If the Council's dissolution is approved by the Center, then the posts of cabinet ministers will go to Mopidevi and Pilli Subhash Chandra Bose. But before the Council is approved by the Center, there is a campaign going on that CM Jagan will resign with Mopidevi and Subhash Chandra Bose.",Council dissolved. Roja gets minister's post
"Ravi Teja, who once had back-to-back successes as Mass Maharaj, has been facing flops in the past few films.",Ravi Teja's film has been shelved?
"Minister KTR criticised the previous Congress government for degrading the dignity of the elders' assembly. He recalled that no minister used to come to the council during the Congress regime. There were many occasions when ministers or the council was postponed. Minister KTR said that after the TRS government came, it was working to save the dignity of the elders' assembly. Minister KTR said that the previous governments tried to avoid the question hour. Minister KTR said that the TRS government is also giving high priority to the question hour. Minister KTR announced that 15.92 lakh toilets will be completed by 2nd October 2018. By then the state will be made open defecation free. Rs 2,44 crore will be required for the construction of these. Nizamabad, Rajanna Sircilla, Karimnagar, Peddapalli, Warangal Urban and Medchal districts have been identified as full ODF cities so far.",Telangana to become an ODF state by October 2
"The action episode will be shot under the leadership of Larnell Stovall-Laud Rimber, who has worked in several Hollywood action films.",Hollywood action scenes for the movie Gani
"Corona tests started on Wednesday at the Fever Hospital in Nallakunta. 22 corona tests were conducted under the trial. Till now there was only an isolated ward. Only corona suspects were kept in this ward. Samples collected from them were sent to Gandhi and Osmania Hospitals for testing. After getting the reports from there, the patient used to start the actual treatment. If positive, they were sent to the Chest Hospital in Erragadda. But the tests started on Wednesday, said Superintendent of the hospital Dr. K. Shankar.",Corona tests begin in hospital in Fever
"Mumbai: Mumbai's Golden Triveni breed of dogs, Buddy and Tiny, will inherit the 50 millionth trust. Going into the details, Nandini Sachdeh and Nimesh Sachdeh of the city have no children. They have no running hospital, no plant god. A baby was born to them in Purit and this has made them suffer even more. To get rid of the childless pain, Nimesh brought three dogs on November 14, 2003. Since then, the dogs have become everything for Nandini and Nimesh. The couple has been taking care of the dogs since then. One dog died in 2016. Nandini has been diagnosed with a heart problem.",The two dogs are worth five crores!
"Chennai: Australia's Dave Whatmore is likely to be appointed as the coach of the Kerala cricket team. In a meeting with the Kerala Ranji players in Chennai this January, Whatmore discussed a number of issues with them. The Kerala Cricket Association has expressed interest in selecting him as the coach. The Cricket Association has already held several rounds of talks with him. The Kerala Cricket Association is once again in talks with Whatmore, who is coming to Chennai on 22nd of this month. If the talks are successful, he will be selected as the coach of the Kerala Ranji team. He was instrumental in the Sri Lankan cricket team's ODI World Cup win in 1996. He studied the new fielding rules and played a key role in the Lankans winning the World Cup.",Former Aussie cricketer to coach Kerala?
"New Year celebrations are taking place all over the world by following the rules of Corona. On the other hand, some film celebrities are celebrating the New Year with some tours and others are celebrating the New Year at home. While Kollywood lovebirds Nayanthara and Vignesh Shivan have celebrated the New Year in a romantic way.",Vignesh Shivan's romantic New Year celebrations with Nayanthara
"Andhra Prabha daily, Telangana First Page News, New Delhi: Prime Minister Narendra Modi is doing everything he can to make trains run in the hearts of black rich people. He is taking important steps in this direction. He is trying his best to make the election promise of cracking down on black money and corruption come true.",We will give horoscopes of black money
Uttar Pradesh Chief Minister Yogi Adityanath has compared the Samajwadi Party-Bahujan Samaj Party alliance to a snakebite alliance and slammed the SP-BSP alliance for the by-election to two parliamentary constituencies in Uttar Pradesh on March 11.,"New Delhi: It is an alliance of a snake and an ant, says UP Chief Minister Yogi Adityanath."
"Minister Harish Rao, who warmly greets Ramalinga Reddy as Linganna, maintained the Pademosi bond till the end of the funeral. The two have been good friends for the last two decades and recently visited the ailing Ramalinga Reddy in the hospital.","Siddipet: Harish, who sang for Ramalinga Reddy"
"In Warangal district, police raided an adulterated oil industry in Rampur village under Madikonda police station.","Warangal: Police raid spurious oil plants, seize huge quantity of spurious oil"
"Once again, Bollywood beauty Disha Patani has given a shock in bikini.",Disha in bikini again
"Hyderabad: In a shocking incident, a six-year-old girl was sexually assaulted by a man in Shalibanda, Telangana.",Hyderabad: A six-year-old girl was allegedly raped and strangled to death.
"Corona virus is increasing day by day in Telangana. At present, there are 126 containment zones in Telangana. The government has made rules so that people do not go out of these zones. Similarly, the government itself distributes essentials and medicines to those in this area. In these clusters, milk packets have been supplied by GHMC staff till 8 am on Sunday. Special vegetable markets and essential centers have been set up in the colonies itself. Plans are being made to supply vegetables to every household for 3 days a week. Similarly, phone numbers are being given to the officials and staff from door to door. Anyone is being allowed to go out in an emergency. Similarly, government employees are being allowed to go out. Officials believe that if such strict rules are implemented in the cantonment zones, the corona can be controlled.",Doorstep delivery in those areas in Telangana...
"It is known that Prime Minister Modi had called for a nationwide Janta Curfew on Sunday. With this call, many people are recalling what happened five decades ago. That is, the then Prime Minister Lal Bahadur Shastri had also given a similar slogan. The whole country followed his call to fast for a day. But the situation at that time was different, but it depended on the unity of the people of these two countries. In 1965, the Indo-Pak war was fierce. There was a situation where it was not known when it would end. People were already in extreme poverty. He had already realized that if the agricultural yield was reduced due to the war, then it would be more difficult to eat. Lal Bahadur Shastri came to a decision. All the people called for a week-long fast. If the rest of the food grains help the poor, then there will be no hunger pangs. People across the country responded positively to his call.",Now Janata Curfew... then Shastri Vrat.
"Prithviraj became popular with the role of 'Bablu' in 'Pellai'. Later, he played many roles in Telugu as well as Tamil and Kannada films. In a recent interview, he said that Ajith mentioned Suriya.",Fans of Ajith and Suriya fire at Prithviraj's comments on 'Pella'!
"Mumbai: Bollywood star Shah Rukh Khan is gearing up for the release of his upcoming film Jab Harry Met Sejal, directed by Imtiaz Ali.",King Khan driving a tractor in the middle of a crop field.
"In the fourth ODI, the Kiwis' victory was tied with 2-0 in the ODI series. Rare records in the final ODI Kiwis' account Hamilton: New Zealand's victory in the must-win match to keep their hopes of winning the series alive. The team's opener Martin Guptill set a new record for the team with an unbeaten century. He also stood by New Zealand without losing the series. Guptill's unbeaten century in the fourth ODI against South Africa helped Kiwis win by 7 wickets. Batting first, South Africa scored 279 runs in 50 overs. Captain de Villiers (72) and Du Plessis (67) scored half-centuries. Opener Amla (40) scored a match-winning century. Then Kohli scored 280 runs in the match. Kohli also scored 3 wickets in 45 overs in the match. He was the second highest run-scorer for the team in the series. Taylor Gupta (4 wickets in the opening innings) was the fourth highest run-scorer for the Kiwis in 21 years.",Guptill's unbeaten century
"Under the influence of the monsoon, heavy to very heavy rains are expected over the Telugu states. Moderate to heavy rains have occurred over Andhra Pradesh and Telangana. Heavy to very heavy rainfall is forecast for Telangana for the next three days. Light to moderate rain is likely at many places over Andhra Pradesh. Light to moderate rain at many places with thunderstorms and lightning. Thunderstorms and lightning at many places over coastal and Rayalaseema. Heavy to very heavy rainfall at isolated places over coastal Andhra Pradesh during the next 48 hours. Heavy to very heavy rainfall at isolated places over north Andhra Pradesh and heavy to very heavy rainfall at isolated places over south coastal and Rayalaseema on 18th and 19th.",today's weather information
"Speaking at the Praja Vedika media point on Friday, MLC YVB Rajendra Prasad asked whether any work should not be done in the state for three months. If necessary, the rule of the Election Commission should be changed.",The rules of the Election Commission should be changed.
"WASHINGTON: North Korea's promises to Pyongyang to hold a summit between North Korean President Kim Jong Un and US President Trump, including the development of missiles and nuclear weapons, must stop, White House press secretary Sanders has said.",Conditions for Trump's meeting with N. Korea
"Producer Mahankali Srinivas said, ""Our film is getting a good response from all the centres where it was released. I hope the success of the first film will encourage me to do more films as a producer."" Director Nagasai Makam said that while watching the first game on the release day, we forgot the hardships of the film for so many years.",We forgot the hard work for the film: Bilalpur Police Station team
"Facebook has banned an account in the name of Raja Singh, the lone BJP MLA from Telangana.",Facebook has blocked an account in MLA Raja Singh's name.
"Nizamabad: Minister Pocharam Srinivas Reddy held an awareness meeting with district officials on the Haritha Haram programme in which MLAs Bajireddy Govardhan, Ganesh Gupta, Council Chief Whip, MLC Pathuri Sudhakar Reddy, District Joint Collector and several senior officials were present.",Awareness session on Haritha Haram programme
"Vijayawada MP Kesineni took to Twitter on Saturday and said that Sujana Chowdary, CM Ramesh, and TG Venkatesh, who were talking about the state's interests and said that they were going to join the BJP to uplift AP, after seeing the budget, people understood why they had joined the BJP.",Creation! Where are the funds for AP's development?
"The people of New Zealand welcomed the new year earlier than everyone else. The people of New Zealand welcomed the new year 2019 with a grand welcome. The people of this country entered the new year first. The people of Crete, Samoa, and New Zealand welcomed the new year 2019. New Year's Eve was celebrated in Auckland and Wellington, New Zealand. The city of Auckland was dazzling with a flaming arrow. The first celebration of the new year on this earth was Samoa. It is a country with a population of about 200,000. They are eight and a half hours ahead of us. There is a country called Kribati. There is an island called Christmas. There is also a New Year's celebration eight and a half hours before us. New Year's Eve is not celebrated in New Zealand. Not everyone wants to say welcome to the new year. Each country has its own way. Sydney, Australia, is five and a half hours ahead of us. New Year's Eve is celebrated in New York City. After 30 minutes, New Year's Eve and New Year's Eve are celebrated in New York City. New Year's Eve and New Year's Eve are celebrated in New York City. New Year's",First New Year's Eve in this country
A woman died on the spot in a major accident near Bhogandani pond on Medur-Arlapadu road in Gampalagudem mandal of Krishna district on Thursday.,Woman killed in road accident
"Under the Tirumala Tirupati Devasthanam Srinivasa Kalyanam Project, the TTD Governing Council has decided to conduct Srinivasa Kalyanam at 11 places in Srikakulam and East Godavari districts from 3rd to 10th January. On 3rd January, Srinivasa Kalyanam will be held at Sriramuluvari Temple premises in PL Devipeta village of Burja Mandal, Srikakulam District. On 4th January, Srinivasa Kalyanam will be held at Sri Abhaya Anjaneyaswamy Temple premises in Malamanaiahpet, Srikakulam Mandal. On 5th January, Kalyanam will be held at Palakhandyam village, Sigadam Mandal. On 6th January, NTR Municipal High School premises in Srikakulam Town. On 7th January, Srinivasa Kalyanam will be held at Sri Balajee Parvathamma Perantala Sports Complex, Mandavakurthi Village, Santaviti Mandal. On 8th January, Srinivasa Kalyanam will be held at Gramadevata Temple premises in Kotipalli Village, Ponnur Mandal. On 6th January, Srinivasa Kalyanavari Temple will be organized at Srinivasavari Temple, Vaibhavacharyam High School, Nalapet village in Ath",Srivari Kalyanas in Srikakulam and East Godavari districts
Andhra Pradesh Finance Minister Yanamala Ramakrishnudu said that Jagan Mohan Reddy does not have the right to talk about change.,Jagan not qualified to talk about change: Yanamala
"Vijayawada: Central MLA Bonda Umamaheswara Rao offered help to K. Kritika (6), who is suffering from a brain problem and is unable to take oxygen. Kritika's father Srinivasa Rao is an auto driver and mother Rajyalakshmi. Kritika's parents showed up at City Neuro Hospital in the city.",MLA Bonda Uma helps baby girl
"Hyderabad will look even busier this month-end with metro rail running and a Global Entrepreneurship Summit. From Thursday onwards, with good muhurats and weddings, the city will be bustling for ten days. Happy Moments will be a hotbed. Hyderabad is on its way to the city. The city is becoming a venue for international conferences as well as literary and cultural festivals. November has brought celebrations in many such cities. The International Children's Film Festival is in full swing. Hundreds of delegates from across the country and abroad have visited the city till the end of this month. The long-awaited Metrorail is all set to be inaugurated. The Mettuguda-Esarnagar metro line will be inaugurated by Prime Minister Modi on 28th of this month.",It's been a busy ten days in Hyderabad.
Bollywood actress Deepika Padukone is all set to make her Bollywood debut with the upcoming film Padmaavat.,Deepika Padukone's dolls in the market.
"A video of the incident in Thoothukudi, Tamil Nadu, has gone viral on social media.",DSP attacks server
Municipal Administration Minister KTR held a meeting on Monday in the wake of heavy rains in the state. He inquired about the situation in Hyderabad city and the state. KTR announced the cancellation of holidays for the next two weeks for the officials. He directed to keep a constant field check and monitor. The Minister said that fifty-four centimeters of heavy rainfall was recorded in Greater Greater in just ten days. He advised to pay special attention to the repair of the roads damaged by the rains. He directed to further increase the sanitation programs in all the municipalities as soon as the rains recede. He said that the dilapidated buildings in the city should be demolished immediately. He directed the officials to repair the roads damaged by heavy rains in GHMC on a war footing.,Leave of officials cancelled for two weeks: KTR
"The old building of Osmania Hospital was locked by the authorities. The old building of Osmania Hospital, which has a history of over a hundred years, has been damaged several times in the last ten years. Doctors have brought to the notice of the government several times that the building is in a dilapidated condition. The government has promised to build a new building in place of the old building.",Officials lock old Osmania building
New Delhi: Four national-level weightlifters were killed and two others seriously injured in a road accident in the national capital this morning when a car carrying weightlifters rammed into an electric pole on the Delhi-Haryana highway.,Four weightlifters killed in car accident
"Gundammakatha, a multi-starrer film in the history of Telugu cinema. Gundammakatha, starring NTR and ANR, completes 57 years of age on 7 June 2019. Gundammakatha, released on 7 June 1962, impressed Telugu audiences. Gundammakatha, starring NTR, ANR, Savitri, Jamuna, SV Ranga Rao, and Suryakantham in the lead roles, under the banner of Vijaya Vahini Studios, produced by B. Nagi Reddy and Chakrapani, under the direction of Kamalakara Kameswara Rao, is based on the point of cleaning up a messy house with a woman. SVR is the father who entices both his sons to solve the problem of a friend's house.",The story of 57-year-old Gundamma!
Mass Maharaja Ravi Teja is currently working on Gopichand Malineni's' Krack 'and will soon start a new film under Ramesh Varma's direction.,Ravi Teja will be reprising her in his next film as well!
"Coronavirus cases are increasing day by day in India. Even though our governments are taking many strict measures to prevent this virus, the spread of this virus is not stopping. Bollywood actor Sanjay Dutt has expressed concern that his wife and children are stuck in Dubai due to the lockdown imposed in the wake of the corona epidemic in the country.",Actor Sanjay Dutt is worried about how his wife and children are doing
Rana is only focusing on novelty stories. Rana is only giving the green signal to novelty concepts. So he has agreed to Tamil and Hindi films are on the sets. He is busy shooting for those films. He will soon do a Telugu film. The title of this film to be directed by Milind Rao has been finalised. Gopinath Achanta will be the producer of this film. The script work of this film has already been completed. The regular shooting of this film will start in August. The rest of the details of this project will be revealed soon. This film with different storylines will give a hit to Rana.,A few things about Rana's new film
"A businessman's house in Jubilee Hills was burgled on Friday night. Jewellery worth around Rs 10 lakh was stolen. According to the police, a bystander who entered from behind the house of Naji Ali Khan, a resident of Road No 34, changed the direction of the CCTV camera.","CCTV camera misdirected, jewellery stolen"
"Narasaraopet MP Rayapati Sambasiva Rao explained to Chief Minister N. Chandrababu Naidu the special features of the Chandi and Aita Maha Sudarshana Yagas, which were performed by Chandrababu Naidu as he wished to become the Chief Minister again.",Chandi Yagna wants Babu to get married again
"New Delhi: While the BJP has welcomed the Supreme Court's suggestion to resolve the Ram Janmabhoomi-Babri Masjid dispute through mediation, the Vishwa Hindu Parishad has said it is ready for another battle.",Ram Mandir should be built on the land of Ram.
"The Centre is preparing to make toll payments on national highways cashless from the new year. From January 1, 100 per cent collection at toll gates will be done through FASTag. At present, about 75 per cent of toll payments are done through FASTags. Only one line of cash is allowed. According to sources in the National Highways Authority of India (NHAI), adequate staff will be hired to quickly issue smart tags and recharge them.",100% FASTag payments from New Year
"Education Department officials said that NEET will be conducted across the country on Sunday. The exam will be held from 2 pm to 5 pm on Sunday. All students are advised to reach the centre by 1: 30 pm. The exam will not be allowed to be held even if there is a delay of one minute. 16 lakh students will appear for NEET across the country. One lakh students are appearing for NEET from Telugu states. 3,842 exam centres have been set up in a total of 202 towns. 112 centres have been set up in 7 towns in Telangana. 151 centres have been set up in 9 cities in AP. Only a small sanitiser bottle along with admit card, photo and identity card will be allowed inside the exam centre. Students will be required to wear a mask and only light coloured clothes.",NEET exam to be held across the country on Sunday
Well-known Tamil actress Varalaxmi Sarathkumar says that she knows who is making news about her marriage. There have been reports for a long time that Varalaxmi is going to marry film actor Vishal. She has clarified many times that Vishal is just a friend.,I know who is doing this!
"Minister Revanna, the brother of Karnataka Chief Minister HD Kumaraswamy, made controversial comments against veteran actress Sumalatha Ambareesh.",CM's controversial remarks on Sumalatha
New Delhi: Prime Minister Narendra Modi inaugurated the fifth International Conference on Cyberspace in Delhi today with the theme CyberforAll: A Secure and Inclusive Cyberspace for Sustainable Development.,PM Modi inaugurates Cyberspace Summit
